Detector,X,Y,sep,Effort
NE_340,457635.9109,5376889.625,/,1
NE_372,425577.0957,5377420.477,/,1
NE_373,426575.2561,5377375.752,/,1
NE_374,427573.4153,5377331.033,/,1
NE_375,428571.5731,5377286.32,/,1
NE_377,430567.8847,5377196.909,/,1
NE_378,431566.0385,5377152.212,/,1
NE_379,432564.1912,5377107.522,/,1
NE_390,457517.674,5375992.047,/,1
NE_391,458515.8031,5375947.5,/,1
NE_392,459513.9314,5375902.958,/,1
NE_421,422537.862,5376556.516,/,1
NE_422,423536.0324,5376511.776,/,1
NE_423,424534.2014,5376467.042,/,1
NE_424,425532.3688,5376422.313,/,1
NE_427,428526.8631,5376288.16,/,1
NE_429,430523.1858,5376198.752,/,2
NE_445,458471.259,5374949.369,/,1
NE_446,459469.3927,5374904.827,/,1
NE_447,460467.5259,5374860.292,/,1
NE_448,461465.6587,5374815.762,/,1
NE_449,462463.7911,5374771.237,/,1
NE_450,463461.9229,5374726.718,/,1
NE_475,421494.9426,5375603.087,/,1
NE_476,422493.12,5375558.342,/,1
NE_477,423491.2959,5375513.604,/,1
NE_478,424489.4703,5375468.871,/,1
NE_484,430478.4883,5375200.589,/,2
NE_485,431476.6533,5375155.895,/,1
NE_507,461421.1316,5373817.627,/,1
NE_508,462419.2693,5373773.102,/,1
NE_509,463417.4067,5373728.583,/,1
NE_543,429435.6201,5374247.119,/,1
NE_544,430433.792,5374202.421,/,1
NE_545,431431.9625,5374157.728,/,1
NE_612,429390.9197,5373248.944,/,1
NE_613,430389.097,5373204.247,/,1
NE_614,431387.273,5373159.556,/,1
NE_681,429346.2206,5372250.763,/,1
NE_682,430344.4032,5372206.067,/,1
NE_683,431342.5846,5372161.378,/,1
NE_724,472267.2234,5370333.732,/,1
NE_725,473265.3732,5370289.268,/,1
NE_752,430299.7107,5371207.882,/,1
NE_753,431297.8977,5371163.193,/,1
NE_794,472222.7567,5369335.579,/,1
NE_795,473220.912,5369291.115,/,1
NE_796,474219.0671,5369246.656,/,1
NE_820,428258.6312,5370299.085,/,1
NE_821,429256.8261,5370254.386,/,1
