Session,ID,Ocassion,Detector,Season,Year,Site
1,NEIND84,1,NE_3258,Summer,2018,NE
1,NEIND4,1,NE_3171,Summer,2018,NE
1,NEIND65,1,NE_3171,Summer,2018,NE
1,NEIND65,1,NE_3172,Summer,2018,NE
1,NEIND93,1,NE_2903,Summer,2018,NE
1,NEIND41,1,NE_2572,Summer,2018,NE
1,NEIND136,1,NE_2554,Summer,2018,NE
1,NEIND64,1,NE_1940,Summer,2018,NE
1,NEIND147,1,NE_1940,Summer,2018,NE
1,NEIND64,1,NE_1868,Summer,2018,NE
1,NEIND13,1,NE_1807,Summer,2018,NE
1,NEIND85,1,NE_1785,Summer,2018,NE
1,NEIND91,1,NE_1580,Summer,2018,NE
1,NEIND133,1,NE_1451,Summer,2018,NE
1,NEIND13,1,NE_1402,Summer,2018,NE
1,NEIND70,1,NE_1451,Summer,2018,NE
1,NEIND141,1,NE_1451,Summer,2018,NE
1,NEIND131,1,NE_1384,Summer,2018,NE
1,NEIND63,1,NE_937,Summer,2018,NE
1,NEIND63,1,NE_937,Summer,2018,NE
1,NEIND81,1,NE_849,Summer,2018,NE
1,NEIND81,1,NE_849,Summer,2018,NE
1,NEIND81,1,NE_776,Summer,2018,NE
1,NEIND154,1,NE_682,Summer,2018,NE
2,NEIND125,1,NE_4452,Summer,2019,NE
2,NEIND128,1,NE_4202,Summer,2019,NE
2,NEIND78,1,NE_4203,Summer,2019,NE
2,NEIND78,1,NE_4203,Summer,2019,NE
2,NEIND151,1,NE_4203,Summer,2019,NE
2,NEIND6,1,NE_4070,Summer,2019,NE
2,NEIND122,1,NE_3999,Summer,2019,NE
2,NEIND6,1,NE_4001,Summer,2019,NE
2,NEIND38,1,NE_3930,Summer,2019,NE
2,NEIND38,1,NE_3930,Summer,2019,NE
2,NEIND6,1,NE_3930,Summer,2019,NE
2,NEIND6,1,NE_3930,Summer,2019,NE
2,NEIND6,1,NE_3930,Summer,2019,NE
2,NEIND38,1,NE_3930,Summer,2019,NE
2,NEIND80,1,NE_3929,Summer,2019,NE
2,NEIND38,1,NE_3853,Summer,2019,NE
2,NEIND6,1,NE_3853,Summer,2019,NE
2,NEIND75,1,NE_3780,Summer,2019,NE
2,NEIND61,1,NE_3775,Summer,2019,NE
2,NEIND75,1,NE_3701,Summer,2019,NE
2,NEIND71,1,NE_3691,Summer,2019,NE
2,NEIND25,1,NE_3692,Summer,2019,NE
2,NEIND68,1,NE_3613,Summer,2019,NE
2,NEIND145,1,NE_3621,Summer,2019,NE
2,NEIND7,1,NE_3492,Summer,2019,NE
2,NEIND31,1,NE_3497,Summer,2019,NE
2,NEIND7,1,NE_3489,Summer,2019,NE
2,NEIND4,1,NE_3418,Summer,2019,NE
2,NEIND144,1,NE_3418,Summer,2019,NE
2,NEIND43,1,NE_3379,Summer,2019,NE
2,NEIND31,1,NE_3248,Summer,2019,NE
2,NEIND11,1,NE_2980,Summer,2019,NE
2,NEIND14,1,NE_2943,Summer,2019,NE
2,NEIND14,1,NE_2942,Summer,2019,NE
2,NEIND14,1,NE_2853,Summer,2019,NE
2,NEIND14,1,NE_2853,Summer,2019,NE
2,NEIND140,1,NE_2510,Summer,2019,NE
2,NEIND146,1,NE_1885,Summer,2019,NE
2,NEIND13,1,NE_1808,Summer,2019,NE
2,NEIND13,1,NE_1742,Summer,2019,NE
2,NEIND134,1,NE_1362,Summer,2019,NE
2,NEIND3,1,NE_1093,Summer,2019,NE
2,NEIND3,1,NE_1094,Summer,2019,NE
2,NEIND3,1,NE_1093,Summer,2019,NE
2,NEIND76,1,NE_1093,Summer,2019,NE
2,NEIND3,1,NE_1093,Summer,2019,NE
2,NEIND74,1,NE_777,Summer,2019,NE
2,NEIND37,1,NE_829,Summer,2019,NE
2,NEIND69,1,NE_821,Summer,2019,NE
