X,Y,NAD_X,NAD_Y,FC,HFI,pop
456469.765,5392969.168,2423286.089,632333.0566,0.987323378,1576.139904,0
457469.765,5392969.168,2426564.051,632496.6944,0.979468153,1205.640337,0
458469.765,5392969.168,2429842.018,632660.3273,0.990847769,1511.687603,0
459469.765,5392969.168,2433119.988,632823.9552,0.953257938,2366.719039,0
460469.765,5392969.168,2436397.961,632987.5781,0.83537105,2138.9568,0
461469.765,5392969.168,2439675.938,633151.196,0.84943258,1339.007074,0
462469.765,5392969.168,2442953.919,633314.8089,0.974217484,2942.054348,0
463469.765,5392969.168,2446231.902,633478.4169,0.882765118,2740.15204,0
454469.765,5391969.168,2416893.823,628727.8156,0.978054483,989.7776157,0
455469.765,5391969.168,2420171.773,628891.4595,0.991589986,1758.012944,0
456469.765,5391969.168,2423449.727,629055.0984,0.985911956,1934.285324,0
457469.765,5391969.168,2426727.685,629218.7324,0.989877353,1727.063058,0
458469.765,5391969.168,2430005.646,629382.3616,0.997215831,1572.05268,0
459469.765,5391969.168,2433283.611,629545.9859,0.996718008,1564.01477,0
460469.765,5391969.168,2436561.58,629709.6053,0.931292653,1618.713034,0
461469.765,5391969.168,2439839.552,629873.2198,0.938772334,2316.60438,0
462469.765,5391969.168,2443117.527,630036.8294,0.957291228,3508.037347,0
463469.765,5391969.168,2446395.506,630200.434,0.903484189,3092.289982,0
464469.765,5391969.168,2449673.488,630364.0338,0.900204779,2589.408174,0
465469.765,5391969.168,2452951.473,630527.6287,0.894241505,3197.174574,0
452469.765,5390969.168,2410501.589,625122.5759,0.982504179,2388.622996,0
453469.765,5390969.168,2413779.526,625286.2254,0.968276508,2529.813331,0
454469.765,5390969.168,2417057.468,625449.8701,0.968060056,1615.760255,0
455469.765,5390969.168,2420335.413,625613.5099,0.985191391,1175.431909,0.039276574
456469.765,5390969.168,2423613.362,625777.145,0.977852149,771.2610442,0.039276574
457469.765,5390969.168,2426891.315,625940.7753,0.983745422,731.9201604,0
458469.765,5390969.168,2430169.271,626104.4008,0.995133582,395.4215222,0
459469.765,5390969.168,2433447.231,626268.0215,0.999803514,235.189071,0
460469.765,5390969.168,2436725.195,626431.6374,0.998113712,295.6279621,0
461469.765,5390969.168,2440003.162,626595.2485,0.992476483,1047.37222,0
462469.765,5390969.168,2443281.133,626758.8547,0.956062128,2168.924604,0
463469.765,5390969.168,2446559.107,626922.4561,0.948660804,2762.39136,0
464469.765,5390969.168,2449837.084,627086.0527,0.872384816,3481.579187,0
465469.765,5390969.168,2453115.064,627249.6444,0.801749602,4518.717071,0
466469.765,5390969.168,2456393.047,627413.2314,0.878286345,3842.171314,0
467469.765,5390969.168,2459671.034,627576.8134,0.960326084,2010.385654,0.122539192
451469.765,5389969.168,2407387.311,621680.9931,0.860470045,3843.385274,0
452469.765,5389969.168,2410665.239,621844.6432,0.921535132,4042.690515,0
453469.765,5389969.168,2413943.172,622008.2886,0.973139433,2630.046656,0
454469.765,5389969.168,2417221.108,622171.9292,0.994816355,1261.700401,0
455469.765,5389969.168,2420499.048,622335.5652,0.986165923,256.6275082,0.039276574
456469.765,5389969.168,2423776.993,622499.1965,0.98427559,48.86611872,0
457469.765,5389969.168,2427054.941,622662.823,0.995166431,382.3722202,0
458469.765,5389969.168,2430332.892,622826.4448,0.991780687,738.4500729,0
459469.765,5389969.168,2433610.848,622990.0619,0.998944071,568.9479053,0
460469.765,5389969.168,2436888.807,623153.6743,0.999637323,72.80568203,0
461469.765,5389969.168,2440166.769,623317.282,0.999191955,196.8752731,0
462469.765,5389969.168,2443444.735,623480.8849,0.995608414,1034.593146,0.26639998
463469.765,5389969.168,2446722.704,623644.483,0.968187377,2430.654946,0
