Detector,X,Y,sep,Effort
OK_248,725957.0642,5404760.56,/,4
OK_286,725972.8704,5403747.93,/,4
OK_325,726070.1518,5402935.735,/,4
OK_365,726271.4891,5401611.764,/,4
OK_404,723348.0854,5400696.096,/,4
OK_405,724347.1397,5400729.121,/,4
OK_406,725346.1994,5400762.152,/,4
OK_407,726270.1983,5400761.237,/,4
OK_408,726891.2102,5400336.744,/,4
OK_449,723381.1046,5399697.042,/,4
OK_450,724380.1651,5399730.061,/,4
OK_452,726378.3024,5399796.119,/,4
OK_485,709427.7294,5398236.435,/,1
OK_486,710426.7241,5398269.362,/,1
OK_499,723414.1185,5398697.98,/,4
OK_500,724413.1854,5398730.994,/,4
OK_547,709460.6507,5397237.439,/,1
OK_548,710459.6517,5397270.361,/,1
OK_560,722448.0593,5397665.91,/,4
OK_561,723447.1271,5397698.913,/,4
OK_610,709493.5671,5396238.438,/,1
OK_623,722481.0563,5396666.842,/,4
OK_652,687549.3971,5394516.921,/,2
OK_667,702533.5229,5395009.219,/,2
OK_674,709526.4784,5395239.431,/,1
OK_675,710525.4917,5395272.343,/,1
OK_687,722514.0481,5395667.767,/,4
OK_710,680589.8786,5393288.773,/,4
OK_717,687582.1689,5393518.01,/,4
OK_718,688581.0849,5393550.783,/,4
OK_730,700568.4304,5393944.529,/,2
OK_731,701567.406,5393977.381,/,2
OK_732,702566.3864,5394010.239,/,2
OK_733,703565.3716,5394043.104,/,2
OK_740,710558.4043,5394273.324,/,3
OK_752,722547.0345,5394668.686,/,4
OK_753,723546.1208,5394701.673,/,4
OK_777,680622.6034,5392289.887,/,6
OK_778,681621.4952,5392322.612,/,4
OK_779,682620.3912,5392355.344,/,4
OK_780,683619.2914,5392388.082,/,4
OK_784,687614.9362,5392519.094,/,4
OK_785,688613.8583,5392551.862,/,4
OK_786,689612.7848,5392584.636,/,4
OK_797,700601.2768,5392945.553,/,2
OK_799,702599.2451,5393011.253,/,2
OK_800,703598.2363,5393044.113,/,2
OK_806,709592.2863,5393241.397,/,5
OK_807,710591.3119,5393274.298,/,5
OK_819,722580.0156,5393669.6,/,4
OK_820,723579.1081,5393702.581,/,4
OK_841,679656.4302,5391258.279,/,4
OK_842,680655.3238,5391290.994,/,4
OK_850,688646.6272,5391552.935,/,4
OK_860,698636.157,5391880.904,/,2
OK_861,699635.1355,5391913.734,/,2
OK_862,700634.1185,5391946.571,/,2
OK_864,702632.099,5392012.261,/,7
OK_865,703631.0964,5392045.115,/,7
OK_866,704630.0985,5392077.977,/,2
OK_867,705629.1056,5392110.843,/,2
OK_871,709625.1827,5392242.371,/,5
OK_873,711623.2511,5392308.17,/,2
OK_874,712622.2928,5392341.08,/,1
OK_875,713621.3395,5392373.995,/,1
OK_884,722612.9914,5392670.507,/,4
OK_885,723612.0901,5392703.484,/,4
OK_920,688679.3917,5390554.001,/,4
OK_930,698668.9819,5390881.925,/,1
OK_931,699667.9663,5390914.751,/,1
OK_934,702664.9481,5391013.263,/,6
OK_935,703663.9515,5391046.113,/,6
OK_936,704662.9598,5391078.969,/,6
OK_937,705661.9728,5391111.831,/,2
OK_941,709658.0743,5391243.339,/,5
OK_942,710657.1121,5391276.23,/,2
OK_943,711656.1548,5391309.128,/,2
OK_954,722645.962,5391671.408,/,8
OK_990,688712.1516,5389555.062,/,4
OK_991,689711.0963,5389587.822,/,4
OK_1001,699700.7926,5389915.76,/,1
OK_1004,702697.7923,5390014.259,/,10
OK_1005,703696.8019,5390047.104,/,10
OK_1006,704695.8162,5390079.955,/,6
OK_1007,705694.8353,5390112.812,/,8
OK_1008,706693.8593,5390145.675,/,2
OK_1010,708691.9221,5390211.419,/,5
OK_1011,709690.9609,5390244.3,/,7
OK_1012,710690.0048,5390277.187,/,2
OK_1023,721679.8218,5390639.343,/,4
OK_1024,722678.9272,5390672.303,/,6
OK_1063,688744.9072,5388556.117,/,4
OK_1064,689743.8578,5388588.873,/,4
OK_1065,690742.813,5388621.635,/,4
OK_1066,691741.7725,5388654.403,/,4
OK_1074,699733.6141,5388916.765,/,1
OK_1075,700732.6153,5388949.587,/,1
OK_1077,702730.6318,5389015.25,/,10
OK_1078,703729.6473,5389048.089,/,10
OK_1079,704728.6676,5389080.935,/,11
OK_1080,705727.6928,5389113.788,/,14
OK_1081,706726.7229,5389146.645,/,8
OK_1082,707725.7577,5389179.51,/,2
OK_1083,708724.7976,5389212.38,/,5
OK_1084,709723.8424,5389245.256,/,2
OK_1085,710722.8923,5389278.138,/,2
OK_1089,714719.1417,5389409.726,/,1
OK_1090,715718.2168,5389442.639,/,1
OK_1096,721712.7756,5389640.238,/,4
OK_1097,722711.8872,5389673.192,/,4
OK_1098,723711.004,5389706.152,/,4
OK_1099,724710.1261,5389739.118,/,4
OK_1138,690775.576,5387622.674,/,4
OK_1139,691774.5416,5387655.438,/,4
OK_1140,692773.5116,5387688.208,/,4
OK_1141,693772.4862,5387720.984,/,1
OK_1148,700765.438,5387950.58,/,1
OK_1151,703762.488,5388049.068,/,5
OK_1152,704761.5143,5388081.909,/,11
OK_1153,705760.5454,5388114.757,/,14
OK_1154,706759.5814,5388147.611,/,16
OK_1155,707758.6224,5388180.469,/,16
OK_1156,708757.6682,5388213.334,/,7
OK_1157,709756.719,5388246.206,/,2
OK_1163,715751.1293,5388443.558,/,5
OK_1164,716750.2155,5388476.471,/,4
OK_1165,717749.3069,5388509.39,/,4
OK_1166,718748.4034,5388542.315,/,4
OK_1167,719747.5051,5388575.246,/,4
OK_1168,720746.612,5388608.183,/,4
OK_1169,721745.7242,5388641.126,/,4
OK_1171,723743.9645,5388707.03,/,3
OK_1172,724743.0928,5388739.991,/,4
OK_1173,725742.2263,5388772.957,/,4
OK_1218,692806.2821,5386689.232,/,4
OK_1219,693805.2626,5386722.005,/,4
OK_1220,694804.2478,5386754.781,/,3
OK_1221,695803.2375,5386787.564,/,3
OK_1226,700798.256,5386951.568,/,1
OK_1227,701797.2739,5386984.386,/,2
OK_1229,703795.3239,5387050.042,/,4
OK_1231,705793.3932,5387115.721,/,3
OK_1232,706792.4351,5387148.569,/,3
OK_1233,707791.482,5387181.423,/,20
OK_1234,708790.5339,5387214.283,/,22
OK_1239,713785.8678,5387378.674,/,1
OK_1240,714784.9497,5387411.57,/,5
OK_1241,715784.0367,5387444.471,/,5
OK_1250,724776.054,5387740.857,/,4
OK_1251,725775.1935,5387773.818,/,3
OK_1302,693838.0344,5385723.018,/,4
OK_1303,694837.0255,5385755.79,/,2
OK_1304,695836.0211,5385788.569,/,3
OK_1310,701830.093,5385985.364,/,2
OK_1311,702829.1215,5386018.183,/,1
OK_1312,703828.155,5386051.009,/,4
OK_1313,704827.1931,5386083.841,/,4
OK_1317,708823.3947,5386215.225,/,15
OK_1321,712819.6754,5386346.706,/,1
OK_1322,713818.7582,5386379.591,/,6
OK_1323,714817.8461,5386412.482,/,5
OK_1388,692871.8093,5384691.265,/,4
OK_1389,693870.8016,5384724.027,/,4
OK_1391,695868.8001,5384789.569,/,3
OK_1392,696867.8062,5384822.348,/,3
OK_1393,697866.8171,5384855.133,/,3
OK_1397,701862.9074,5384986.334,/,1
OK_1398,702861.9418,5385019.149,/,2
OK_1399,703860.9811,5385051.97,/,6
OK_1401,705859.0741,5385117.63,/,5
OK_1403,707857.1867,5385183.312,/,5
OK_1404,708856.2504,5385216.162,/,14
OK_1405,709855.319,5385249.019,/,6
OK_1406,710854.3926,5385281.881,/,11
OK_1407,711853.4712,5385314.749,/,6
OK_1408,712852.5549,5385347.623,/,7
OK_1409,713851.6435,5385380.503,/,5
OK_1473,693903.5644,5383725.029,/,3
OK_1474,694902.5671,5383757.792,/,2
OK_1475,695901.5745,5383790.562,/,3
OK_1476,696900.5866,5383823.336,/,3
OK_1477,697899.6032,5383856.117,/,3
OK_1482,702894.7574,5384020.109,/,5
OK_1483,703893.8025,5384052.926,/,9
OK_1484,704892.8525,5384085.747,/,9
OK_1485,705891.9073,5384118.575,/,7
OK_1487,707890.0316,5384184.248,/,5
OK_1488,708889.1012,5384217.093,/,8
OK_1489,709888.1756,5384249.945,/,6
OK_1490,710887.2551,5384282.802,/,5
OK_1491,711886.3397,5384315.665,/,5
OK_1492,712885.4292,5384348.534,/,1
OK_1560,694935.3311,5382758.784,/,2
OK_1562,696933.3622,5382824.319,/,4
OK_1563,697932.3847,5382857.096,/,4
OK_1564,698931.4118,5382889.878,/,4
OK_1570,704925.6749,5383086.692,/,9
OK_1571,705924.7356,5383119.515,/,9
OK_1573,707922.8716,5383185.179,/,7
OK_1574,708921.947,5383218.019,/,4
OK_1575,709921.0274,5383250.865,/,11
OK_1576,710920.1127,5383283.717,/,11
OK_1577,711919.2031,5383316.575,/,5
OK_1578,712918.2985,5383349.439,/,6
OK_1579,713917.3989,5383382.308,/,5
OK_1652,698964.1944,5381890.845,/,4
OK_1653,699963.2322,5381923.628,/,4
OK_1659,705957.5588,5382120.449,/,5
OK_1660,706956.6303,5382153.272,/,5
OK_1661,707955.7066,5382186.102,/,4
OK_1662,708954.7878,5382218.938,/,4
OK_1663,709953.874,5382251.779,/,13
OK_1666,712951.1627,5382350.338,/,13
OK_1667,713950.2691,5382383.203,/,13
OK_1741,699996.0158,5380924.585,/,7
OK_1748,706989.4545,5381154.196,/,2
OK_1749,707988.5367,5381187.021,/,4
OK_1751,709986.7158,5381252.687,/,13
OK_1752,710985.8127,5381285.529,/,15
OK_1754,712984.0218,5381351.232,/,20
OK_1755,713983.134,5381384.091,/,1
OK_1756,714982.2513,5381416.957,/,1
OK_1830,700028.7949,5379925.536,/,7
OK_1838,708021.3619,5380187.933,/,4
OK_1841,711018.6553,5380286.427,/,15
OK_1842,712017.7632,5380319.27,/,3
OK_1843,713016.876,5380352.119,/,22
OK_1844,714015.9939,5380384.973,/,1
OK_1845,715015.1169,5380417.834,/,1
OK_1920,700061.5691,5378926.482,/,7
OK_1921,701060.6287,5378959.257,/,7
OK_1922,702059.6933,5378992.037,/,5
OK_1928,708054.182,5379188.84,/,4
OK_1929,709053.2807,5379221.661,/,1
OK_1930,710052.3842,5379254.487,/,1
OK_1931,711051.4927,5379287.319,/,22
OK_1932,712050.6064,5379320.156,/,21
OK_1933,713049.725,5379353,/,22
OK_1934,714048.8486,5379385.85,/,9
OK_1935,715047.9775,5379418.706,/,9
OK_1936,716047.1114,5379451.566,/,1
OK_2013,702092.4742,5377992.967,/,4
OK_2014,703091.5492,5378025.748,/,4
OK_2019,708086.9974,5378189.741,/,4
OK_2020,709086.1016,5378222.557,/,1
OK_2021,710085.2109,5378255.378,/,35
OK_2022,711084.3253,5378288.205,/,37
OK_2023,712083.4446,5378321.038,/,11
OK_2024,713082.5689,5378353.877,/,11
OK_2107,703124.3311,5377026.668,/,4
OK_2108,704123.4167,5377059.45,/,5
OK_2109,705122.5071,5377092.238,/,4
OK_2112,708119.8077,5377190.637,/,4
OK_2113,709118.9177,5377223.447,/,4
OK_2114,710118.0327,5377256.263,/,34
OK_2116,712116.2778,5377321.914,/,11
OK_2120,716112.8286,5377453.282,/,4
OK_2121,717111.9791,5377486.138,/,4
OK_2122,718111.1348,5377519,/,4
OK_2202,705155.2954,5376093.143,/,1
OK_2203,706154.3964,5376125.932,/,1
OK_2206,709151.7288,5376224.332,/,4
OK_2207,710150.8494,5376257.143,/,32
OK_2208,711149.9752,5376289.96,/,32
OK_2209,712149.1059,5376322.783,/,2
OK_2211,714147.3825,5376388.446,/,6
OK_2212,715146.5285,5376421.285,/,4
OK_2213,716145.6796,5376454.13,/,4
OK_2300,708185.4135,5375192.41,/,6
OK_2301,709184.5349,5375225.211,/,8
OK_2302,710183.6612,5375258.017,/,12
OK_2303,711182.7927,5375290.829,/,10
OK_2304,712181.929,5375323.646,/,11
OK_2306,714180.2169,5375389.299,/,10
OK_2308,716178.5253,5375454.974,/,4
OK_2396,708218.209,5374193.288,/,1
OK_2400,712214.747,5374324.505,/,14
OK_2401,713213.8941,5374357.324,/,11
OK_2402,714213.0463,5374390.147,/,15
OK_2403,715212.2035,5374422.977,/,6
OK_2404,716211.366,5374455.812,/,6
OK_2484,708250.9995,5373194.161,/,1
OK_2488,712247.56,5373325.358,/,11
OK_2490,714245.8704,5373390.99,/,13
OK_2491,715245.0334,5373423.814,/,5
OK_2492,716244.2014,5373456.644,/,2
OK_2576,712280.3679,5372326.205,/,6
OK_2578,714278.6896,5372391.826,/,10
OK_2664,712313.1709,5371327.046,/,6
OK_2665,713312.3346,5371359.849,/,11
OK_2666,714311.5036,5371392.658,/,12
OK_2667,715310.6776,5371425.473,/,10
OK_2735,694361.7601,5369738.46,/,5
OK_2755,714344.3124,5370393.484,/,11
OK_2756,715343.492,5370426.293,/,12
OK_2757,716342.6767,5370459.108,/,10
OK_2758,717341.8666,5370491.927,/,10
OK_2824,694394.4539,5368739.378,/,5
OK_2825,695393.5416,5368772.072,/,12
OK_2838,708382.1122,5369197.596,/,2
OK_2839,709381.267,5369230.366,/,2
OK_2846,716375.4916,5369459.918,/,2
OK_2847,717374.6869,5369492.733,/,10
OK_2848,718373.8875,5369525.553,/,10
OK_2850,720372.3043,5369591.21,/,2
OK_2851,721371.5205,5369624.047,/,4
OK_2852,722370.7421,5369656.891,/,4
OK_2853,723369.969,5369689.739,/,4
OK_2854,724369.2012,5369722.591,/,4
OK_2862,732363.2542,5369985.619,/,4
OK_2902,684436.4607,5367413.692,/,1
OK_2913,695426.2364,5367772.98,/,12
OK_2915,697424.4366,5367838.374,/,3
OK_2916,698423.5437,5367871.08,/,2
OK_2917,699422.6555,5367903.792,/,3
OK_2918,700421.7721,5367936.509,/,3
OK_2926,708414.878,5368198.441,/,2
OK_2936,718406.7082,5368526.347,/,9
OK_2937,719405.9194,5368559.168,/,13
OK_2938,720405.1359,5368591.994,/,4
OK_2939,721404.3577,5368624.826,/,4
OK_2941,723402.8171,5368690.506,/,3
OK_2942,724402.0549,5368723.354,/,4
OK_2943,725401.298,5368756.208,/,4
OK_2944,726400.5465,5368789.067,/,4
OK_2945,727399.8003,5368821.932,/,4
OK_2946,728399.0597,5368854.802,/,4
OK_2947,729398.3245,5368887.678,/,3
OK_2950,732396.152,5368986.338,/,4
OK_2951,733395.4389,5369019.235,/,4
OK_2990,684469.0911,5366414.643,/,1
OK_2991,685468.1447,5366447.274,/,2
OK_3001,695458.9264,5366773.881,/,12
OK_3002,696458.0297,5366806.571,/,16
OK_3003,697457.1375,5366839.267,/,11
OK_3004,698456.25,5366871.969,/,2
OK_3006,700454.4893,5366937.387,/,3
OK_3025,719438.7403,5367559.951,/,4
OK_3034,728431.9299,5367855.537,/,1
OK_3035,729431.2002,5367888.407,/,4
OK_3038,732429.0442,5367987.05,/,4
OK_3039,733428.3366,5368019.943,/,4
OK_3078,684501.7171,5365415.589,/,1
OK_3079,685500.7762,5365448.216,/,2
OK_3080,686499.8396,5365480.848,/,2
OK_3090,696490.7205,5365807.463,/,18
OK_3091,697489.8337,5365840.154,/,17
OK_3092,698488.9516,5365872.851,/,2
OK_3093,699488.0743,5365905.553,/,3
OK_3094,700487.2017,5365938.261,/,3
OK_3113,719471.5559,5366560.73,/,4
OK_3123,729464.0704,5366889.132,/,4
OK_3126,732461.9307,5366987.759,/,4
OK_3127,733461.2286,5367020.645,/,4
OK_3166,685533.4032,5364449.152,/,3
OK_3167,686532.472,5364481.779,/,4
OK_3168,687531.5452,5364514.413,/,4
OK_3177,696523.4065,5364808.35,/,14
OK_3178,697522.5252,5364841.036,/,18
OK_3179,698521.6486,5364873.728,/,17
OK_3180,699520.7766,5364906.425,/,3
OK_3199,718505.1388,5365528.697,/,4
OK_3200,719504.3664,5365561.501,/,4
OK_3210,729496.9351,5365889.85,/,4
OK_3213,732494.8118,5365988.461,/,4
OK_3214,733494.1151,5366021.342,/,4
OK_3254,686565.1,5363482.706,/,3
OK_3255,687564.1785,5363515.334,/,5
OK_3256,688563.2616,5363547.968,/,5
OK_3257,689562.349,5363580.607,/,2
OK_3266,698554.3408,5363874.6,/,17
OK_3267,699553.4743,5363907.292,/,15
OK_3269,701551.7554,5363972.693,/,1
OK_3286,718537.9386,5364529.469,/,4
OK_3297,729529.7944,5364890.563,/,4
OK_3298,730529.0864,5364923.423,/,2
OK_3300,732527.6872,5364989.157,/,4
OK_3301,733526.9959,5365022.033,/,4
OK_3337,688595.8957,5362548.881,/,4
OK_3338,689594.9885,5362581.515,/,5
OK_3339,690594.0858,5362614.155,/,2
OK_3345,696588.765,5362810.106,/,2
OK_3348,699586.1671,5362908.154,/,15
OK_3349,700585.3106,5362940.847,/,14
OK_3350,701584.4589,5362973.545,/,1
OK_3351,702583.612,5363006.249,/,1
OK_3367,718570.7331,5363530.236,/,4
OK_3378,729562.648,5363891.272,/,3
OK_3379,730561.9455,5363924.125,/,4
OK_3416,689627.6236,5361582.417,/,4
OK_3417,690626.7261,5361615.053,/,5
OK_3418,691625.8332,5361647.694,/,2
OK_3421,694623.1817,5361745.648,/,1
OK_3423,696621.4371,5361810.976,/,6
OK_3426,699618.8552,5361909.01,/,2
OK_3427,700618.004,5361941.699,/,13
OK_3428,701617.1576,5361974.392,/,4
OK_3429,702616.316,5362007.091,/,13
OK_3430,703615.4792,5362039.795,/,13
OK_3431,704614.6472,5362072.505,/,1
OK_3432,705613.8201,5362105.22,/,1
OK_3433,706612.998,5362137.94,/,1
OK_3434,707612.1807,5362170.666,/,1
OK_3435,708611.3683,5362203.397,/,1
OK_3436,709610.561,5362236.133,/,1
OK_3445,718603.5224,5362530.998,/,4
OK_3446,719602.7662,5362563.787,/,4
OK_3456,729595.4963,5362891.974,/,3
OK_3492,690659.362,5360615.945,/,4
OK_3493,691658.4742,5360648.582,/,6
OK_3494,692657.5912,5360681.223,/,4
OK_3495,693656.7127,5360713.87,/,1
OK_3496,694655.8386,5360746.521,/,1
OK_3498,696654.1046,5360811.842,/,8
OK_3499,697653.2446,5360844.509,/,12
OK_3500,698652.3892,5360877.183,/,4
OK_3501,699651.5385,5360909.861,/,2
OK_3504,702649.0152,5361007.927,/,13
OK_3505,703648.1838,5361040.627,/,12
OK_3511,709643.2973,5361236.935,/,1
OK_3512,710642.5003,5361269.671,/,1
OK_3513,711641.7082,5361302.413,/,2
OK_3514,712640.9212,5361335.16,/,3
OK_3521,719635.5557,5361564.537,/,4
OK_3531,729628.339,5361892.672,/,3
OK_3568,691691.1109,5359649.464,/,2
OK_3569,692690.233,5359682.101,/,3
OK_3570,693689.3597,5359714.743,/,4
OK_3571,694688.491,5359747.39,/,1
OK_3572,695687.6269,5359780.043,/,4
OK_3573,696686.7675,5359812.701,/,10
OK_3574,697685.9127,5359845.364,/,20
OK_3579,702681.7096,5360008.759,/,14
OK_3588,711674.4501,5360303.2,/,10
OK_3589,712673.6684,5360335.942,/,8
OK_3596,719668.3399,5360565.283,/,3
OK_3606,729661.1762,5360893.363,/,3
OK_3607,730660.4897,5360926.2,/,3
OK_3643,691723.7429,5358650.342,/,1
OK_3644,692722.8703,5358682.974,/,2
OK_3645,693722.0022,5358715.612,/,3
OK_3646,694721.1387,5358748.254,/,3
OK_3647,695720.2798,5358780.903,/,3
OK_3648,696719.4256,5358813.556,/,2
OK_3649,697718.5761,5358846.214,/,18
OK_3650,698717.7312,5358878.878,/,19
OK_3654,702714.3992,5359009.585,/,12
OK_3655,703713.5782,5359042.275,/,2
OK_3662,710707.9685,5359271.249,/,10
OK_3663,711707.1869,5359303.981,/,10
OK_3681,729694.0079,5359894.05,/,3
OK_3682,730693.3266,5359926.881,/,3
OK_3725,698750.3951,5357879.718,/,19
OK_3726,699749.5601,5357912.382,/,26
OK_3727,700748.73,5357945.051,/,8
OK_3729,702747.084,5358010.406,/,8
OK_3737,710740.6949,5358272.031,/,10
OK_3756,729726.834,5358894.732,/,3
OK_3757,730726.1581,5358927.558,/,3
OK_3800,699782.2245,5356913.212,/,25
OK_3801,700781.3996,5356945.876,/,24
OK_3811,710773.4165,5357272.807,/,10
OK_3830,729759.6547,5357895.408,/,3
OK_3831,730758.984,5357928.228,/,3
OK_3873,698815.7088,5355881.382,/,19
OK_3874,699814.8842,5355914.037,/,25
OK_3875,700814.0644,5355946.696,/,25
OK_3883,708807.6799,5356208.161,/,2
OK_3884,709806.904,5356240.866,/,8
OK_3885,710806.133,5356273.578,/,10
OK_3886,711805.3671,5356306.295,/,8
OK_3903,728793.1409,5356863.269,/,3
OK_3904,729792.4699,5356896.079,/,3
OK_3948,699847.5391,5354914.856,/,1
OK_3949,700846.7244,5354947.511,/,22
OK_3950,701845.9145,5354980.171,/,8
OK_3951,702845.1093,5355012.837,/,8
OK_3957,708840.381,5355208.937,/,2
