X,Y,NAD_X,NAD_Y,FC,HFI,pop
705128.1288,5416794.451,1792228.754,682831.6493,0.219775261,0,0
706128.1288,5416794.451,1795507.948,682737.8619,0.454142858,0.000697107,0
707128.1288,5416794.451,1798787.125,682644.0683,0.528563032,83.31617894,0
708128.1288,5416794.451,1802066.284,682550.2683,0.489387386,170.7435731,0.047755621
709128.1288,5416794.451,1805345.427,682456.4621,0.549406251,11.13396226,0
710128.1288,5416794.451,1808624.552,682362.6496,0.680608854,62.48978347,0
711128.1288,5416794.451,1811903.66,682268.8308,0.574069892,189.5181009,0
712128.1288,5416794.451,1815182.751,682175.0057,0.631590796,42.35792507,0
713128.1288,5416794.451,1818461.824,682081.1743,0.630881895,0.005049088,0
703128.1288,5415794.451,1785576.552,679739.972,0.195397967,5.84527956,0
704128.1288,5415794.451,1788855.773,679646.2141,0.212657814,0,0
705128.1288,5415794.451,1792134.978,679552.4499,0.141169261,0,0
706128.1288,5415794.451,1795414.166,679458.6796,0.212979004,0,0
707128.1288,5415794.451,1798693.336,679364.903,0.417024855,26.10701914,0.047755621
708128.1288,5415794.451,1801972.49,679271.1202,0.463003234,169.8657804,0.047755621
709128.1288,5415794.451,1805251.626,679177.3313,0.444425557,205.6709184,0
710128.1288,5415794.451,1808530.745,679083.5361,0.567272018,206.0889699,0
711128.1288,5415794.451,1811809.847,678989.7347,0.594470973,301.0326642,0
712128.1288,5415794.451,1815088.931,678895.9271,0.715310749,169.0213465,0
713128.1288,5415794.451,1818367.998,678802.1133,0.491790498,49.99562762,0
714128.1288,5415794.451,1821647.047,678708.2934,0.460630424,6.453087994,0
715128.1288,5415794.451,1824926.078,678614.4673,0.431414314,0,0
701128.1288,5414794.451,1778924.324,676648.2087,0.174044224,59.66520868,0
702128.1288,5414794.451,1782203.573,676554.4799,0.315941591,197.1831448,0
703128.1288,5414794.451,1785482.805,676460.7451,0.305626598,155.7082877,0
704128.1288,5414794.451,1788762.021,676367.004,0.241640217,3.68374043,0
705128.1288,5414794.451,1792041.219,676273.2568,0.15097313,0,0
706128.1288,5414794.451,1795320.401,676179.5035,0.161790377,0,0
707128.1288,5414794.451,1798599.565,676085.744,0.235266364,0.788850428,0
708128.1288,5414794.451,1801878.713,675991.9784,0.522618285,149.5370741,0
709128.1288,5414794.451,1805157.843,675898.2066,0.593004983,280.7028061,0
710128.1288,5414794.451,1808436.956,675804.4288,0.590345604,222.4739336,0
711128.1288,5414794.451,1811716.051,675710.6448,0.639634155,239.2109774,0
712128.1288,5414794.451,1814995.129,675616.8547,0.608993472,270.2513681,0
713128.1288,5414794.451,1818274.19,675523.0585,0.333665834,236.599672,0
714128.1288,5414794.451,1821553.233,675429.2562,0.260027274,153.3653916,0
715128.1288,5414794.451,1824832.258,675335.4478,0.312391679,1.100163905,0
716128.1288,5414794.451,1828111.266,675241.6334,0.381545174,0,0
723128.1288,5414794.451,1851063.813,674584.7621,0.266937572,463.5773723,0
724128.1288,5414794.451,1854342.676,674490.8991,0.387459118,492.9453153,0
725128.1288,5414794.451,1857621.52,674397.0301,0.674843317,281.3370971,0
726128.1288,5414794.451,1860900.345,674303.1551,0.836387981,333.3170554,0
727128.1288,5414794.451,1864179.151,674209.274,0.809488976,130.7735058,0
728128.1288,5414794.451,1867457.939,674115.3869,0.870754766,0.509018036,0
729128.1288,5414794.451,1870736.708,674021.4938,0.962393311,0,0
700128.1288,5413794.451,1775551.347,673462.6605,0.394877695,0,0
701128.1288,5413794.451,1778830.607,673368.9545,0.326869909,0.693330904,0
702128.1288,5413794.451,1782109.85,673275.2424,0.430880936,108.005292,0
703128.1288,5413794.451,1785389.076,673181.5243,0.504245969,198.1907282,0
704128.1288,5413794.451,1788668.285,673087.8001,0.376087012,140.8800583,0
705128.1288,5413794.451,1791947.477,672994.0698,0.180893253,4.024230279,0
706128.1288,5413794.451,1795226.653,672900.3335,0.070338103,0.006012024,0
707128.1288,5413794.451,1798505.811,672806.5911,0.117269878,0,0
708128.1288,5413794.451,1801784.953,672712.8426,0.436179286,38.58540146,0
709128.1288,5413794.451,1805064.077,672619.0881,0.70564197,202.4359956,0
710128.1288,5413794.451,1808343.184,672525.3276,0.650381216,55.13060109,0
711128.1288,5413794.451,1811622.273,672431.561,0.604172115,15.44041545,0.002442725
712128.1288,5413794.451,1814901.345,672337.7884,0.436079232,113.826499,0
713128.1288,5413794.451,1818180.399,672244.0098,0.317085702,167.8270142,0
714128.1288,5413794.451,1821459.436,672150.2251,0.24582056,132.3649608,0
715128.1288,5413794.451,1824738.456,672056.4345,0.30986203,16.48150173,0
716128.1288,5413794.451,1828017.457,671962.6378,0.415078925,0,0
717128.1288,5413794.451,1831296.441,671868.8352,0.498029639,1.122538293,0
721128.1288,5413794.451,1844412.195,671493.5646,0.495422155,47.10493715,0
722128.1288,5413794.451,1847691.088,671399.7321,0.330402378,10.77518248,0
723128.1288,5413794.451,1850969.963,671305.8935,0.34221949,378.3640839,0
724128.1288,5413794.451,1854248.819,671212.049,0.406283524,345.1089452,0
725128.1288,5413794.451,1857527.657,671118.1985,0.541354174,5.101293496,0
