Session,ID,Ocassion,Detector
1,CoyoteF01,1,BG55
1,CoyoteF01,1,BF54
1,CoyoteF01,1,BF55
1,CoyoteF01,1,BF55
1,CoyoteF01,1,BF56
1,CoyoteF01,1,BF56
1,CoyoteF01,1,BE54
1,CoyoteF02,1,BP51
1,CoyoteF02,1,BP51
1,CoyoteF02,1,BN55
1,CoyoteF02,1,BN54
1,CoyoteF03,1,AN43
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AN44
1,CoyoteF03,1,AM44
1,CoyoteF03,1,AM44
1,CoyoteF03,1,AM44
1,CoyoteF03,1,AM44
1,CoyoteF03,1,AM44
1,CoyoteF03,1,AL43
1,CoyoteF03,1,AL43
1,CoyoteF04,1,DA66
1,CoyoteF04,1,DA69
1,CoyoteF04,1,CZ69
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CT61
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CT60
1,CoyoteF05,1,CS60
1,CoyoteF05,1,CS60
1,CoyoteF05,1,CS60
1,CoyoteF05,1,CS60
1,CoyoteF05,1,CS60
1,CoyoteF05,1,CF57
1,CoyoteF05,1,CE56
1,CoyoteF06,1,AI42
1,CoyoteF06,1,AI30
1,CoyoteF06,1,AI42
1,CoyoteF06,1,AI42
1,CoyoteF06,1,AI42
1,CoyoteF06,1,AI42
1,CoyoteF06,1,AI42
1,CoyoteF06,1,AI42
1,CoyoteF06,1,AI42
1,CoyoteF06,1,AI42
1,CoyoteF06,1,AG31
1,CoyoteF07,1,DL65
1,CoyoteF07,1,DL65
1,CoyoteF07,1,DL65
1,CoyoteF07,1,DL65
1,CoyoteF07,1,DL65
1,CoyoteF07,1,DK65
1,CoyoteF07,1,DK65
1,CoyoteF07,1,DK65
1,CoyoteF07,1,DK65
1,CoyoteF07,1,DK65
1,CoyoteF08,1,BL33
1,CoyoteF08,1,BL33
1,CoyoteF08,1,BL34
1,CoyoteF08,1,BL34
1,CoyoteF08,1,BL34
1,CoyoteF08,1,BL34
1,CoyoteF08,1,BL34
1,CoyoteF08,1,BK33
1,CoyoteF08,1,BK33
1,CoyoteF08,1,BK33
1,CoyoteF08,1,BK34
1,CoyoteF08,1,BG26
1,CoyoteF08,1,BG25
1,CoyoteF09,1,DB67
1,CoyoteF09,1,DB67
1,CoyoteF09,1,DA68
1,CoyoteF09,1,DA68
