X,Y,X_NAD_HARN,Y_NAD_HARN,impervious,income,Lead,PNPL,pop_dens,pop_dense_1km,PRMP,tree_cov,TSDF,Diesel,Traffic,PM25,Pesticide
546813.437,5278934.957,1260177.758,245329.0487,86.64549483,92777.53846,5,6,3790.812933,3297.469025,10,1.658788774,10,10,3.666666667,6.333333333,1.666666667
547063.437,5278934.957,1260997.927,245305.9989,86.86380832,94409.76923,5,6,3874.067258,3297.469025,10,1.325346784,10,10,3.666666667,6.333333333,1.666666667
547313.437,5278934.957,1261818.095,245282.9494,83.62782402,99085.34146,5,6,3905.633057,2892.20253,10,2.612366231,10,10,4.25,6.25,2
547313.437,5278684.957,1261795.046,244462.7807,87.65868263,101961.7,5,6,3873.548618,757.0869751,10,0.652694611,10,10,4.25,6.25,2
547563.437,5278684.957,1262615.215,244439.7317,84.38748336,105086.2143,5.97826087,6,3934.759875,2364.344238,9.804347826,4.033288948,10,10,4.666666667,6.333333333,2.333333333
547063.437,5278434.957,1260951.828,243665.6609,87.30516432,102992.2308,6.709401709,6.128205128,3966.02957,2364.344238,9.632478632,2.189358372,10,10,3.5,6.5,1.5
547563.437,5278434.957,1262592.166,243619.563,87.30516432,106678.4762,6.709401709,6.128205128,3966.02957,2364.344238,9.632478632,2.189358372,10,10,4.666666667,6.333333333,2.333333333
547813.437,5278434.957,1263412.335,243596.5145,80.35607094,105801.9302,7.939849624,6.030075188,3993.010074,2364.344238,9.406015038,9.626193724,10,10,4.666666667,6.333333333,2.333333333
546563.437,5278184.957,1259288.439,242891.5899,79.66003617,104854.1282,5.99009901,6,3116.488955,1150.147552,9.00990099,8.508137432,10,10,3.5,7,1
546813.437,5278184.957,1260108.609,242868.5405,84.51934827,104152.05,7.238636364,6.534090909,3857.425503,757.0869751,9.363636364,5.128309572,10,10,3.5,7,1
547063.437,5278184.957,1260928.779,242845.4914,84.51934827,105245.025,7.238636364,6.534090909,3857.425503,757.0869751,9.363636364,5.128309572,10,10,3.666666667,6.666666667,1.666666667
547313.437,5278184.957,1261748.948,242822.4426,84.51934827,106618.0732,7.238636364,6.534090909,3857.425503,757.0869751,9.363636364,5.128309572,10,10,4.25,6.5,2
547813.437,5278184.957,1263389.286,242776.3458,80.92168675,105090.5909,8.472,6.208,4032.009311,1997.4646,9.264,8.162650602,10,10,5.5,6.5,3
548063.437,5278184.957,1264209.455,242753.2977,74.23196605,102254.5333,9.328244275,6.022900763,4043.827368,2364.344238,9.129770992,15.85148515,10,10,6.166666667,6.5,2.333333333
548313.437,5278184.957,1265029.624,242730.25,67.93772455,101003.7609,9.810457516,6.006535948,4336.806146,2621.813721,8.85620915,21.38443114,10,10,6.6,6.6,2.2
546563.437,5277934.957,1259265.39,242071.4197,77.18688982,104240.8095,6,6,3091.061035,2448.322021,9,10.91631799,10,10,3.666666667,7,1
546813.437,5277934.957,1260085.56,242048.3706,83.21698113,103528.925,6.469565217,6.156521739,3269.309241,689.3418579,9,5.731132075,10,10,3.666666667,7,1
547063.437,5277934.957,1260905.73,242025.3217,80.595,105523.5366,7.5,6.5,3573.326308,689.3418579,9,9.111666667,10,10,3.666666667,7,1
547313.437,5277934.957,1261725.9,242002.2732,77.11815068,106458.7619,8.110091743,6.71559633,3866.245387,689.3418579,9.036697248,12.36130137,10,10,4.2,6.6,1.8
547563.437,5277934.957,1262546.069,241979.2248,77.02519685,107503.9767,8.672413793,6.74137931,4080.09561,1630.584961,9.103448276,11.77165354,10,10,5.2,6.6,2.6
548063.437,5277934.957,1264186.407,241933.129,75.42688331,101537.5333,9.488,6.272,4071.535119,1630.584961,9.032,13.87592319,10,10,6,6.6,2.6
548313.437,5277934.957,1265006.576,241910.0814,70.18231293,100055.2667,9.753731343,6.104477612,4327.038983,2854.568604,8.820895522,18.48571429,10,10,6.5,6.75,2.5
546563.437,5277684.957,1259242.341,241251.2493,76.85194175,101784.4783,6,6,3091.061035,1568.83194,9,11.11771845,10,10,3.8,7,2.6
546813.437,5277684.957,1260062.511,241228.2004,79.97066327,101355.7045,6.398601399,6.132867133,3216.087357,689.3418579,9,8.825255102,10,10,3.8,7,2.6
547063.437,5277684.957,1260882.681,241205.1518,78.68571429,103002.6512,7.315068493,6.438356164,3532.082155,689.3418579,9,11.06583851,10,10,4,7,1.75
547313.437,5277684.957,1261702.851,241182.1034,74.03143894,103894.3864,8.125827815,6.708609272,3882.894409,689.3418579,9,15.5356711,10,10,4,7,1.75
547563.437,5277684.957,1262523.021,241159.0553,70.68219178,105484.5111,8.884615385,6.930769231,4087.480194,1630.584961,9,19.18082192,10,10,5.5,6.75,2.5
547813.437,5277684.957,1263343.19,241136.0075,72.53314121,103811.3778,9.134920635,6.825396825,4113.829527,1630.584961,8.992063492,17.1426513,10,10,5.5,6.75,2.5
548063.437,5277684.957,1264163.36,241112.9599,73.98893499,100802.0435,9.503875969,6.395348837,4261.99302,2242.576782,8.728682171,14.7538036,10,10,6,6.8,2.2
546563.437,5277434.957,1259219.292,240431.0787,73.93004587,98231.20833,6,6.189873418,2879.981839,2448.322021,9.189873418,12.39105505,10,10,3.8,7,2.6
546813.437,5277434.957,1260039.462,240408.03,76.88316151,98700.4375,6.2625,6.28125,2988.470015,689.3418579,9.19375,10.81214204,10,10,3.8,7,2.6
547063.437,5277434.957,1260859.633,240384.9816,75.53379152,100700.766,7.082278481,6.512658228,3359.221851,689.3418579,9.151898734,13.6002291,10,10,4,7,1.75
547313.437,5277434.957,1261679.803,240361.9334,68.93348624,101605.2609,8.050632911,6.740506329,3771.758517,689.3418579,9.056962025,21.42201835,10,10,4,7,1.75
547563.437,5277434.957,1262499.973,240338.8856,65.38089623,103568.8478,8.807692308,6.942307692,4080.017485,1630.584961,9.006410256,25.59787736,10,10,5.333333333,7,2.333333333
547813.437,5277434.957,1263320.143,240315.838,63.67843137,102574.1087,9,7,4140.552236,1630.584961,8.964028777,25.35816993,10,10,5.333333333,7,2.333333333
548063.437,5277434.957,1264140.312,240292.7906,68.02165088,100122.8222,9.113636364,6.886363636,4168.680865,1630.584961,8.787878788,20.39106901,10,10,6,6.8,2.2
548313.437,5277434.957,1264960.482,240269.7436,72.96510067,98783.62222,9.25,6.705882353,4228.130931,2854.568604,8.602941176,15.78255034,10,10,6,6.8,2.2
546813.437,5277184.957,1260016.414,239587.8593,72.57586207,95497.20408,6.229299363,6.541401274,2576.567112,1115.973145,9.464968153,11.80574713,10,10,3.8,7,2.6
547063.437,5277184.957,1260836.585,239564.8111,71.59378596,97264.2449,7.056603774,6.679245283,3073.156791,902.6575012,9.327044025,15.56386651,10,10,4,7,1.75
547313.437,5277184.957,1261656.755,239541.7632,66.11123853,99532.0625,8.012658228,6.848101266,3588.288486,1115.973145,9.17721519,24.00458716,10,10,4,7,1.75
547563.437,5277184.957,1262476.925,239518.7155,59.16933638,101130.8478,8.810126582,6.974683544,4047.543763,1806.61145,9.037974684,28.47482838,10,10,5.333333333,7,2.333333333
547813.437,5277184.957,1263297.095,239495.6682,56.73333333,101813.9787,9,7,4146.838867,1806.61145,8.96835443,27.12873563,10,10,5.333333333,7,2.333333333
548063.437,5277184.957,1264117.265,239472.6211,58.575,101843.3261,9,7,4198.177481,1806.61145,8.712418301,23.59285714,10,10,5.333333333,7,2.333333333
548313.437,5277184.957,1264937.435,239449.5742,63.56195244,100815.8409,9.054794521,6.938356164,4246.039723,2618.604492,8.479452055,22.04130163,10,10,6,6.8,2.2
547313.437,5276934.957,1261633.708,238721.5926,62.7137931,98720.26531,7.968152866,6.949044586,3389.606096,1115.973145,9.292993631,23.96321839,10,10,4.25,7,1.75
547563.437,5276934.957,1262453.878,238698.5452,54.81171068,101564.7755,8.773584906,7,3994.988876,1806.61145,9.075471698,28.08610792,10,10,5,7,2
547813.437,5276934.957,1263274.048,238675.4981,51.53608247,105765.5745,9,7,4146.838867,1806.61145,8.962732919,29.40664376,10,10,5,7,2
548063.437,5276934.957,1264094.218,238652.4512,49.78071183,105746.7292,9,7,4208.252742,1806.61145,8.720496894,29.21584386,10,10,5.75,7,2
548313.437,5276934.957,1264914.388,238629.4046,55.62557604,104860.4,9,7,4277.810357,2212.607971,8.405063291,27.71543779,10,10,5.75,7,2
550313.437,5278434.957,1271614.009,243366.0437,65.12743972,91173.72093,9.471698113,6,4769.485918,2687.408691,6.949685535,23.30998852,10,10,8.8,6.6,4.4
550563.437,5278434.957,1272434.175,243342.9981,64.11710677,79301.97674,9.371069182,6,5180.16097,2687.408691,6.685534591,25.99196326,10,10,9.75,6.25,3.75
550813.437,5278434.957,1273254.341,243319.9527,66.95876289,65407.93023,8.754716981,6,6131.312868,4467.040527,6.377358491,23.93585338,10,10,9.857142857,6.142857143,3.571428571
548813.437,5278184.957,1266669.96,242684.1552,65.39885057,98225.95745,9.232704403,6,5926.218678,3246.162842,8.232704403,21.29310345,10,10,7.666666667,6.666666667,2.833333333
549063.437,5278184.957,1267490.128,242661.1083,68.34174312,98646.82609,8.761006289,6,5993.182786,3296.692993,7.761006289,18.20642202,10,10,8,6.8,2.8
549313.437,5278184.957,1268310.295,242638.0615,71.78530425,100027.1915,8.425,6,5327.046949,3347.223145,7.425,15.92422503,10,10,8,6.8,2.8
549563.437,5278184.957,1269130.463,242615.0151,72.63646789,103433.0435,8.13125,6,4638.367268,3347.223145,7.13125,16.12270642,10,10,8.5,6.75,4
549813.437,5278184.957,1269950.63,242591.9689,69.54994259,102855.3111,8.329113924,6,4302.096532,2939.320679,7,20.76463835,10,10,8.5,6.75,4
550063.437,5278184.957,1270770.797,242568.923,67.2279496,98387.25581,8.93081761,6,4269.397986,2375.427734,7,23.38487973,10,10,8.8,6.6,4.4
550313.437,5278184.957,1271590.963,242545.8774,64.0619977,92931.29268,9.428571429,6,4391.279356,2531.418213,6.950310559,26.07577497,10,10,9.25,6.5,3.75
550563.437,5278184.957,1272411.13,242522.832,64.07551487,81760.26829,9.354037267,6,5099.819565,2531.418213,6.695652174,26.53661327,10,10,9.8,6.2,4
550813.437,5278184.957,1273231.296,242499.7869,67.48199768,68286.38462,8.777070064,6,5860.028749,3316.972595,6.420382166,22.19279907,10,10,9.875,6.125,3.75
548563.437,5277934.957,1265826.745,241887.0342,66.98152709,97891.2,9.547297297,6.027027027,5037.758981,2854.568604,8.554054054,21.18472906,10,10,8,6.8,2.8
548813.437,5277934.957,1266646.913,241863.9872,67.77522936,96950.02273,9.257861635,6,5772.858777,2854.568604,8.257861635,19.23623853,10,10,7.8,6.8,3.2
549063.437,5277934.957,1267467.081,241840.9404,69.15137615,98154.65909,8.7875,6,5728.477348,3269.040527,7.7875,18.16857798,10,10,8.25,7,3.25
549313.437,5277934.957,1268287.249,241817.894,71.53899083,99079.31818,8.416149068,6,4750.823187,3683.512451,7.416149068,17.34288991,10,10,8.25,7,3.25
549563.437,5277934.957,1269107.416,241794.8478,72.36280138,102617,8.14556962,6,3848.682062,3683.512451,7.14556962,17.74282434,10,10,8.5,6.75,4
549813.437,5277934.957,1269927.584,241771.8018,69.23165138,103692.5263,8.303797468,6,3537.775347,3683.512451,7,21.74082569,10,10,8.5,6.75,4
550063.437,5277934.957,1270747.751,241748.7562,64.93455798,101292.4872,8.795031056,6,3693.856846,2375.427734,7,26.19058553,10,10,8.8,6.6,4.4
550313.437,5277934.957,1271567.918,241725.7108,62.74482759,96417.2,9.197530864,6,3929.714882,2375.427734,6.975308642,27.85862069,10,10,9.4,6.4,4
548563.437,5277684.957,1265803.698,241066.8656,71.44603381,96996.72727,9.381294964,6.223021583,4959.317108,2854.568604,8.424460432,16.48244473,10,10,8,6.75,3.25
548813.437,5277684.957,1266623.866,241043.8188,69.83935243,95600.18605,9.208053691,6.080536913,5787.055735,2854.568604,8.208053691,17.0871731,10,10,8,6.8,2.8
549063.437,5277684.957,1267444.034,241020.7723,72.61384977,95970.80952,8.810126582,6.006329114,5358.830662,3269.040527,7.810126582,15.25117371,10,10,8.5,7,2.75
549313.437,5277684.957,1268264.203,240997.7261,74.02525832,97244.925,8.436708861,6,4386.496475,3683.512451,7.436708861,14.52927669,10,10,8.666666667,7,2
549563.437,5277684.957,1269084.37,240974.6802,73.47065593,101198.7778,8.15,6,3118.87731,3683.512451,7.15,17.68699655,10,10,9,6.666666667,3
549813.437,5277684.957,1269904.538,240951.6345,71.71788991,104373.8485,8.176100629,6,2676.171191,3683.512451,7,20.13073395,10,10,9,6.666666667,3
550063.437,5277684.957,1270724.705,240928.589,67.10640732,104599.3714,8.512820513,6,3050.893286,2375.427734,7,25.0812357,10,10,9,6.666666667,3
548563.437,5277434.957,1265780.651,240246.6968,74.3844189,97451.60465,9.132867133,6.314685315,5425.376496,2854.568604,8.132867133,12.61941252,10,10,8,6.75,3.25
548813.437,5277434.957,1266600.82,240223.6502,74.3844189,95251.83333,9.132867133,6.314685315,5425.376496,2854.568604,8.132867133,12.61941252,10,10,8,6.75,3.25
549313.437,5277434.957,1268241.157,240177.558,78.05156038,96059.26316,8.466165414,6.015037594,4231.849619,3683.512451,7.466165414,10.89823609,10,10,8.5,7,2.75
549563.437,5277434.957,1269061.325,240154.5123,75.79072848,99386.125,8.185185185,6,3118.87731,3683.512451,7.185185185,14.81456954,10,10,9,6.666666667,3
549813.437,5277434.957,1269881.493,240131.4668,73.98356511,105198.8966,8.041666667,6,2574.55164,3683.512451,7,17.29962073,10,10,9,6.666666667,3
550063.437,5277434.957,1270701.66,240108.4216,70.76923077,108544.4828,8.25,6,2778.69806,2375.427734,7,20.10096154,10,10,9.25,6.5,3.5
550813.437,5277684.957,1273185.206,240859.4544,72.35483871,84998.05714,8.708860759,6.708860759,3516.411986,3121.408936,6.810126582,15.47695853,10,10,9.8,6.2,4
548563.437,5277184.957,1265757.604,239426.5277,69.48789809,99161.55814,9.076923077,6.797202797,4551.778388,2618.604492,8.195804196,18.07898089,10,10,8,6.75,3.25
548813.437,5277184.957,1266577.773,239403.4814,73.4102228,96847.21951,9.057142857,6.607142857,5069.537097,2618.604492,8.057142857,15.38269987,10,10,8.666666667,7,3.333333333
549813.437,5277184.957,1269858.447,239311.2989,73.81605351,104890.0769,8,6,2461.136963,1580.827026,7,14.23578595,10,10,9,7,2.5
550063.437,5277184.957,1270678.615,239288.254,69.07668232,111174.0385,8,6,2524.654651,1117.742188,7,16.92957746,10,10,10,6.5,4.5
550563.437,5277184.957,1272318.95,239242.1649,69.35104364,118569.3448,9,7,3456.001619,2504.804443,7,20.11954459,10,10,10,6.5,4.5
548813.437,5276934.957,1266554.727,238583.3122,64.70504528,100589.9231,9,6.868965517,4662.344705,2618.604492,8,24.58344114,10,10,8.2,7,3.2
549063.437,5276934.957,1267374.896,238560.2665,66.31407407,99854.35135,8.958677686,6.768595041,4459.66808,2099.715759,7.958677686,23.20740741,10,10,8.5,7,3.75
550563.437,5276934.957,1272295.906,238421.9975,73.03703704,122199.7931,8.953488372,6.953488372,3196.412044,1811.273315,7,17.13507625,10,10,10,6.666666667,4
553063.437,5269434.957,1279806.446,213586.4908,65.19447641,97055.33333,9.55345912,9.446540881,2467.93742,1535.746094,10,21.6881473,10,9.5,8,6,4.75
553313.437,5269434.957,1280626.62,213563.4574,65.18077803,98913.72727,9.832298137,9.167701863,2652.119175,1535.746094,10,23.85011442,10,9.5,8,6,4.75
553563.437,5269434.957,1281446.793,213540.4242,55.98970252,102915.6579,9.99378882,9.00621118,2800.856934,1477.404541,10,32.28832952,10,9.333333333,7.333333333,6,4.666666667
553813.437,5269434.957,1282266.967,213517.3914,47.385511,103749.1613,10,9,2800.856934,1419.062988,10,37.8440367,10,9,7.5,6,6.5
553063.437,5269184.957,1279783.413,212766.3169,63.24770642,89183.22449,9.430379747,9.5,2360.745667,1895.145752,10,21.8016055,10,9.5,8,6,4.75
553313.437,5269184.957,1280603.587,212743.2837,64.52920962,91664.21739,9.620253165,9.151898734,2626.155878,1535.746094,10,22.36197022,10,9.5,8,6,4.75
553563.437,5269184.957,1281423.761,212720.2508,61.84156142,93641.60976,9.805031447,8.93081761,2829.460096,1885.185852,10,26.66704937,10,9.333333333,7.333333333,6,4.666666667
553813.437,5269184.957,1282243.934,212697.2183,51.11561383,93667.51429,9.830065359,8.91503268,2818.247656,1875.225952,10,34.030012,10,9,7.5,6,6.5
554063.437,5269184.957,1283064.107,212674.186,46.23667712,93224.96552,9.74789916,8.87394958,2840.381303,1875.225952,10,36.08,10,9,7.5,6,6.5
553063.437,5268934.957,1279760.38,211946.1426,56.44087256,80263.34694,9.14375,9.41875,2352.296168,2254.54541,10,24.49712974,10,9.5,8,6,4.75
553313.437,5268934.957,1280580.554,211923.1097,62.3053961,83670.38298,9.201257862,8.987421384,2682.532057,2254.54541,10,21.93226177,10,9.5,8,6,4.75
553563.437,5268934.957,1281400.728,211900.0771,63.92571429,84623.74419,9.257861635,8.666666667,2938.152112,2292.967163,10,22.56457143,10,9.333333333,7.333333333,6,4.666666667
553813.437,5268934.957,1282220.902,211877.0448,57.05970149,85653.89744,9.232704403,8.616352201,2938.441765,2331.388916,10,28.22899885,10,9.333333333,7.333333333,6,4.666666667
554063.437,5268934.957,1283041.075,211854.0128,50.3971831,81843.27273,9.221374046,8.610687023,2948.117085,2331.388916,10,32.55331412,10,9,7.5,6,6.5
553063.437,5268684.957,1279737.347,211125.968,48.57471264,73516.16327,8.849056604,9.295597484,2368.677425,2254.54541,10,26.85287356,10,9.5,8,6,4.75
553313.437,5268684.957,1280557.521,211102.9354,56.34633028,75993.34694,8.79245283,8.79245283,2758.710403,2254.54541,10,24.27981651,10,9.5,8,6,4.75
553563.437,5268684.957,1281377.696,211079.903,63.29147465,77469.8913,8.698113208,8.396226415,3065.788977,2292.967163,10,21.64631336,10,9.333333333,7.333333333,6,4.666666667
553813.437,5268684.957,1282197.87,211056.871,60.57846506,77855.42857,8.62962963,8.314814815,3076.026596,2331.388916,10,25.32646048,10,9.333333333,7.333333333,6,4.666666667
554063.437,5268684.957,1283018.044,211033.8393,54.37218045,74574.32432,8.657534247,8.328767123,3080.350691,2331.388916,10,27.50637755,10,9,7.5,6,6.5
554313.437,5268684.957,1283838.217,211010.8078,45.12461059,72265.375,8.551724138,8.275862069,3095.878122,2331.388916,10,28.51121795,10,9,7.5,6,6.5
553063.437,5268434.957,1279714.314,210305.7932,40.64293915,68942.18367,8.651898734,9.227848101,2444.170905,2254.54541,10,28.5097589,10,9.333333333,7.666666667,6,4.333333333
553313.437,5268434.957,1280534.489,210282.7608,51.95418099,69962.65306,8.375,8.61875,2858.206061,2254.54541,10,25.81557847,10,9.333333333,7.666666667,6,4.333333333
553563.437,5268434.957,1281354.664,210259.7287,61.21485714,71569.25,8.1375,8.125,3162.283353,2254.54541,10,21.18628571,10,9,6.5,6,4
553813.437,5268434.957,1282174.838,210236.6969,60.70561283,70602.86957,8.150943396,8.075471698,3186.713593,2331.388916,10,24.06643757,10,9,6.5,6,4
