Detector,X,Y,sep,Effort
AA47,550982.0966,5286142.132,/,4
AA48,551232.0966,5286142.132,/,2
AA56,553232.0966,5286142.132,/,3
AA57,553482.0966,5286142.132,/,3
AB46,550732.0966,5285892.132,/,1
AB47,550982.0966,5285892.132,/,5
AB48,551232.0966,5285892.132,/,5
AC44,550232.0966,5285642.132,/,2
AC45,550482.0966,5285642.132,/,2
AC47,550982.0966,5285642.132,/,5
AC48,551232.0966,5285642.132,/,8
AD39,548982.0966,5285392.132,/,1
AD45,550482.0966,5285392.132,/,2
AF30,546812.3154,5284872.776,/,3
AF31,546982.0966,5284892.132,/,4
AG29,546593.6074,5284542.984,/,4
AG30,546751.2187,5284626.272,/,4
AG31,546982.0966,5284642.132,/,4
AG40,549232.0966,5284642.132,/,1
AG41,549482.0966,5284642.132,/,1
AG42,549732.0966,5284642.132,/,1
AG43,549982.0966,5284642.132,/,1
AH29,546573.5583,5284383.095,/,5
AH30,546732.0966,5284392.132,/,6
AH31,546982.0966,5284392.132,/,7
AH32,547232.0966,5284392.132,/,7
AH33,547482.0966,5284392.132,/,2
AH40,549232.0966,5284392.132,/,2
AH41,549482.0966,5284392.132,/,6
AH42,549732.0966,5284392.132,/,8
AH43,549982.0966,5284392.132,/,13
AI29,546556.7727,5284130.292,/,2
AI30,546732.0966,5284142.132,/,3
AI31,546982.0966,5284142.132,/,4
AI32,547232.0966,5284142.132,/,4
AI33,547482.0966,5284142.132,/,5
AI34,547732.0966,5284142.132,/,1
AI40,549232.0966,5284142.132,/,2
AI41,549482.0966,5284142.132,/,6
AI42,549732.0966,5284142.132,/,12
AI43,549982.0966,5284142.132,/,1
AJ34,547732.0966,5283892.132,/,1
AJ54,552732.0966,5283892.132,/,1
AJ55,552982.0966,5283892.132,/,1
AJ56,553232.0966,5283892.132,/,2
AJ57,553482.0966,5283892.132,/,3
AJ58,553732.0966,5283892.132,/,4
AK34,547732.0966,5283642.132,/,1
AK43,549982.0966,5283642.132,/,1
AK50,551732.0966,5283642.132,/,1
AK51,551982.0966,5283642.132,/,1
AK54,552732.0966,5283642.132,/,1
AK55,552982.0966,5283642.132,/,1
AK56,553232.0966,5283642.132,/,2
AK57,553482.0966,5283642.132,/,3
AK58,553732.0966,5283642.132,/,4
AL34,547732.0966,5283392.132,/,1
AL43,549982.0966,5283392.132,/,6
AL44,550232.0966,5283392.132,/,6
AL50,551732.0966,5283392.132,/,1
AL51,551982.0966,5283392.132,/,1
AM43,549982.0966,5283142.132,/,6
AM44,550232.0966,5283142.132,/,7
AM61,554466.4087,5283139.714,/,4
AN29,546482.0966,5282892.132,/,5
AN43,549982.0966,5282892.132,/,7
AN44,550232.0966,5282892.132,/,8
AN60,554232.0966,5282892.132,/,2
AN61,554469.0908,5282889.047,/,5
AO22,544789.4329,5282619.003,/,7
AO26,545732.0966,5282642.132,/,6
AO29,546482.0966,5282642.132,/,5
AO30,546732.0966,5282642.132,/,4
AO43,549982.0966,5282642.132,/,7
AO44,550232.0966,5282642.132,/,6
AO61,554481.9854,5282642.141,/,6
AO62,554631.5181,5282618.185,/,5
AP22,544737.7188,5282391.861,/,7
AP23,544982.0966,5282392.132,/,7
AP26,545732.0966,5282392.132,/,6
AP27,545982.0966,5282392.132,/,6
AP32,547232.0966,5282392.132,/,1
AP59,553982.0966,5282392.132,/,1
AQ23,544982.0966,5282142.132,/,7
AQ59,553982.0966,5282142.132,/,1
AR23,544982.0966,5281892.132,/,5
AR62,554732.0966,5281892.132,/,1
AS61,554482.0966,5281642.132,/,2
AS62,554732.0966,5281642.132,/,2
AT61,554482.0966,5281392.132,/,2
AT62,554732.0966,5281392.132,/,2
